timestamp,ax,ay,az,gx,gy,gz,lat,lng,alt,speed,bearing
24636.010,-1.7017,7.6264,6.1212,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.021,-1.6945,7.5690,6.0901,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.033,-1.5318,7.5642,6.0805,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.041,-1.6155,7.5953,6.0733,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.050,-1.6036,7.5450,6.1451,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.061,-1.6203,7.5881,6.1595,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.071,-1.6395,7.5546,6.1284,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.081,-1.5748,7.5403,6.1451,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.091,-1.7017,7.5738,6.2145,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.100,-1.6730,7.5953,6.2863,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.111,-1.6347,7.5618,6.3294,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.121,-1.6873,7.5379,6.4347,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.131,-1.6299,7.5714,6.2815,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.141,-1.6083,7.5785,6.1978,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.151,-1.7376,7.5714,6.1068,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.161,-1.7088,7.5594,6.0614,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.171,-1.6730,7.6144,6.0422,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.182,-1.6634,7.5785,6.0302,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.194,-1.6634,7.5833,6.1906,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.202,-1.5868,7.5379,6.1619,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.212,-1.5724,7.5833,6.2169,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.221,-1.6323,7.5618,6.3102,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.232,-1.5461,7.5953,6.3509,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.242,-1.5030,7.5307,6.1571,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.252,-1.6179,7.5594,6.1331,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.262,-1.6155,7.5666,6.1260,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.272,-1.6490,7.5570,6.1690,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.282,-1.6706,7.5450,6.2097,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.292,-1.5988,7.6001,6.3126,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.302,-1.5485,7.5666,6.2863,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.312,-1.4313,7.5403,6.3485,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.322,-1.4983,7.5283,6.2983,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.332,-1.5557,7.5546,6.1164,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.342,-1.5964,7.5235,6.1666,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.354,-1.6275,7.5474,6.1690,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.362,-1.6897,7.5618,6.1714,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.372,-1.6059,7.5905,6.2408,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.381,-1.6059,7.5522,6.2767,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.392,-1.6371,7.5474,6.3078,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
